C10_app2	C10_app2_rg1	7<shi rend="sup"></shi><p/>	C10_app2_rg2	iv.<p/>	C10_app2_rg3	v.<p/>	
C10_app5	C10_app5_rg1	november 	C10_app5_rg2	november,	
C10_app790	C10_app790_rg1	trees that shaded my window.	C10_app790_rg2	trees.	
C10_app792	C10_app792_rg1	spring	C10_app792_rg2	spring;	
C10_app795	C10_app795_rg1	no doubt contributed greatly	C10_app795_rg2	contributed greatly	
C10_app798	C10_app798_rg1	bosom,	C10_app798_rg2	bosom;	
C10_app800	C10_app800_rg1	disappeared	C10_app800_rg2	disappeared,	
C10_app804	C10_app804_rg1	 passion <del>that consumed me<del>.<p/> "dearest	C10_app804_rg2	passion.<p/><p/>"dearest	
C10_app806	C10_app806_rg1	exclaimed i,	C10_app806_rg2	said i	
C10_app808	C10_app808_rg1	"how	C10_app808_rg2	how	
C10_app810	C10_app810_rg1	 "whole winter	C10_app810_rg2	whole winter,	
C10_app812	C10_app812_rg1	being spent	C10_app812_rg2	spending it  "<del>at<del>	
C10_app814	C10_app814_rg1	study	C10_app814_rg2	study,	
C10_app816	C10_app816_rg1	 "has	C10_app816_rg2	has	
C10_app818	C10_app818_rg1	room. how	C10_app818_rg2	room:  "how	
C10_app820	C10_app820_rg1	 "the	C10_app820_rg2	the	
C10_app824	C10_app824_rg1	<del>c<del>occasion of–	C10_app824_rg2	occasion;	
C10_app826	C10_app826_rg1	me."<p/> "you	C10_app826_rg2	me."<p/><p/>"you	
C10_app828	C10_app828_rg1	me entirely, if	C10_app828_rg2	me," replied henry,  "if	
C10_app830	C10_app830_rg1	dis compose yourself; "but	C10_app830_rg2	discompose yourself, but	
C10_app832	C10_app832_rg1	can.	C10_app832_rg2	can;	
C10_app834	C10_app834_rg1	 "since	C10_app834_rg2	since	
C10_app836	C10_app836_rg1	 "spirits	C10_app836_rg2	spirits,	
C10_app838	C10_app838_rg1	 "one subject;	C10_app838_rg2	one subject,	
C10_app840	C10_app840_rg1	not?"<p/> i trembled;	C10_app840_rg2	not?"<p/><p/>i trembled.	
C10_app843	C10_app843_rg1	to an	C10_app843_rg2	to<metamark function="insert"></metamark>an	
C10_app845	C10_app845_rg1	think. do not frighten	C10_app845_rg2	think?<p/><p/>"compose	
C10_app848	C10_app848_rg1	colour," i	C10_app848_rg2	colour, "i	
C10_app850	C10_app850_rg1	 "it	C10_app850_rg2	it,	
C10_app852	C10_app852_rg1	you.	C10_app852_rg2	you;	
C10_app854	C10_app854_rg1	 "and	C10_app854_rg2	and	
C10_app856	C10_app856_rg1	so	C10_app856_rg2	very	
C10_app858	C10_app858_rg1	"<del>rec<del> received a letter from you in	C10_app858_rg2	received a letter from you in	
C10_app859	C10_app859_rg1	 "your	C10_app859_rg2	your	
C10_app861	C10_app861_rg1	hand –	C10_app861_rg2	hand-writing.	
C10_app863	C10_app863_rg1	 "ill	C10_app863_rg2	ill	
C10_app865	C10_app865_rg1	 "at	C10_app865_rg2	at	
C10_app867	C10_app867_rg1	silence."<p/> is	C10_app867_rg2	silence."<p/><p/>"is	
C10_app869	C10_app869_rg1	all,	C10_app869_rg2	all?	
C10_app870	C10_app870_rg1	"i said smiling  "my	C10_app870_rg2	my	
C10_app872	C10_app872_rg1	henry	C10_app872_rg2	henry.	C10_app872_rg3	henry?	
C10_app874	C10_app874_rg1	 "that	C10_app874_rg2	that	
C10_app876	C10_app876_rg1	thought	C10_app876_rg2	thoughts	
C10_app878	C10_app878_rg1	 "fly towards<del>that<del>those	C10_app878_rg2	fly towards those	
C10_app880	C10_app880_rg1	 "whom	C10_app880_rg2	whom	
C10_app882	C10_app882_rg1	love	C10_app882_rg2	love,	
C10_app884	C10_app884_rg1	 "of	C10_app884_rg2	of	
C10_app886	C10_app886_rg1	love."<p/> "if	C10_app886_rg2	love."<p/><p/>"if	
C10_app888	C10_app888_rg1	temper"  said henry "you	C10_app888_rg2	temper, my friend, you	
C10_app892	C10_app892_rg1	perhaps  "to	C10_app892_rg2	to	
C10_app894	C10_app894_rg1	<del>here<del> that has been	C10_app894_rg2	that has been	
C10_app895	C10_app895_rg1	 "<del>ly<del> lying<del>e<del>	C10_app895_rg2	lying	
C10_app899	C10_app899_rg1	 "cousin	C10_app899_rg2	cousin,	
C10_app901	C10_app901_rg1	believe."	C10_app901_rg2	believe."<p/>	
